39;Susan;Snow;25;Adventure;K-1;6:00;9:47;FINISHED;;;3:47;25 Miles
44;Jim;Ham;25;Adventure;K-1;6:00;9:47;FINISHED;;;3:47;25 Miles
78;Danny;Forer;25;Adventure;K-1;6:00;9:47;FINISHED;;;3:47;25 Miles
106;Phil;Ruttenburg;25;Adventure;K-1;6:00;10:18;FINISHED;;;4:18;25 Miles
99;Kellee;Adams;25;Adventure;SUP 12'6;6:00;9:24;FINISHED;;;3:24;25 Miles
34;CC;Moncada;25;Adventure;SUP 12'6;6:00;9:28;FINISHED;;;3:28;25 Miles
112;Thomas;Crackel;50;Adventure;K-1;6:00;8:36;12:30;FINISHED;;6:30;50 Miles
43;Margot;Otway;50;Adventure;K-1;6:00;9:02;13:54;FINISHED;;7:54;50 Miles
25;Charles;Locke;50;Adventure;K-1;6:00;N/A;14:40;FINISHED;;8:40;50 Miles
86;Erin;McGehee;50;Adventure;SUP 12'6;6:00;9:38;FINISHED;;;3:38;25 Miles
98;Super;Dave;50;Adventure;SUP 12'6;6:00;9:01;13:39;FINISHED;;7:39;50 Miles
94;Jeff;Locke;50;Adventure;SUP 14';6:00;9:25;14:40;FINISHED;;8:40;50 Miles
49;Donna;Hendrickson;50;Adventure;SUP 14';6:00;9:43;FINISHED;;;3:43;25 Miles
91;Chris;Heisterkamp;50;Adventure;SUP 14';6:00;9:11;14:07;FINISHED;;8:07;50 Miles
23;Nancy;Myers;50;Adventure;SUP 14';6:00;9:25;14:40;FINISHED;;8:40;50 Miles
29;Sue;Baker;50;Adventure;SUP 14';6:00;9:38;15:20;FINISHED;;9:20;50 Miles
40;Noa;Rubin;50;Adventure;SUP 14';6:00;9:38;15:20;FINISHED;;9:20;50 Miles
97;Jitka;Hiscox;50;Adventure;Surfski;6:00;9:14;14:45;FINISHED;;8:45;50 Miles
81;Bruce;Hales;100;Adventure;K-1;6:00;8:36;12:29;FINISHED;;6:29;50 Miles
103;Jesse;Jentler;100;Adventure;K-2;6:00;9:13;14:40;FINISHED;;8:40;50 Miles
103;John;Valine;100;Adventure;K-2;6:00;9:13;14:40;FINISHED;;8:40;50 Miles
104;Greg;Dible;100;Adventure;K-1;6:00;8:44;12:47;16:24;19:14;13:14;100 Miles
74;Mike;Martini;100;Adventure;K-1;6:00;9:02;13:37;17:32;20:33;14:33;100 Miles
45;Kate;Johnson;100;Adventure;K-1;6:00;9:17;14:15;18:06;21:12;15:12;100 Miles
71;Elaine;Baden;100;Adventure;K-2;6:00;8:27;12:00;15:08;17:30;11:30;100 Miles
71;Marsha;Arnold;100;Adventure;K-2;6:00;8:27;12:00;15:08;17:30;11:30;100 Miles
68;Team;River Runner;100;Adventure;Kayak/Relay;6:00;9:51;15:15;18:15;21:16;15:16;100 Miles
72;Joshua;Sims;100;Adventure;Marathon C-1;6:00;9:28;14:14;18:15;21:22;15:22;100 Miles
36;Brian;Thomas;100;Adventure;Prone (All);6:00;9:23;14:45;FINISHED;;8:45;50 Miles
101;Tasha;Hacker;100;Adventure;SUP 12'6;6:00;10:26;;;FINISHED;4:26;25 Miles
102;Christian;Johnson;100;Adventure;SUP 14';6:00;10:00;FINISHED;;;4:00;25 Miles
37;Tripp;Harrison;100;Adventure;SUP 14';6:00;9:18;14:44;FINISHED;;8:44;50 Miles
107;Will;Loftin;100;Adventure;SUP 14';10:14;.;15:00;19:18;FINISHED;9:04;75 Miles
28;Janet;Whittick;100;Adventure;SUP 14';6:00;8:51;13:36;17:30;FINISHED;11:30;75 Miles
12;David;Upchurch;100;Adventure;SUP 12'6;6:00;9:11;14:10;18:34;FINISHED;12:34;75 Miles
55;Julie;Stevens;100;Adventure;SUP 14';6:00;9:09;13:44;17:24;20:18;14:18;100 Miles
33;Alison;Rennie;100;Adventure;SUP 2-Person;6:00;8:51;13:04;16:47;19:33;13:33;100 Miles
33;Allistair;Swinsco;100;Adventure;SUP 2-Person;6:00;8:51;13:04;16:47;19:33;13:33;100 Miles
79;Lise;Oberth;25;Competitive;Double sufski;7:00;9:03;FINISHED;;;2:03;25 Miles
79;Ben;Lawry;25;Competitive;Double surfski;7:00;9:03;FINISHED;;;2:03;25 Miles
70;Erik;Ford;25;Competitive;K-1;7:00;10:03;FINISHED;;;3:03;25 Miles
48;Jessica;Bowlby;25;Competitive;K-1;7:00;10:07;FINISHED;;;3:07;25 Miles
